run,arm,label,model,ok,turns,tool_calls,wall_seconds,cost_usd,input,output,cache_create,cache_read,billed_input,total,peak_context,context_window,peak_pct,context_series
smoke-handoff,handoff,review,haiku,true,22,21,182,0.2036926,74,18655,40507,293296,333877,352532,54204,200000,27,25254 26895 30491 35255 38062 39051 39454 45211 54204
smoke-handoff,handoff,fix,haiku,true,53,52,230,0.5053908000000001,426,24072,57505,2695948,2753879,2777951,71202,200000,36,33197 34519 35278 35992 36502 36895 37328 37869 38958 39503 40969 41471 42261 42660 43112 43447 44454 45968 46421 46841 47185 47940 48754 49178 49674 50234 51040 51520 52192 53449 54199 54888 55599 56644 57535 59005 59819 60590 61366 62200 63601 63992 64620 65103 65659 66007 66658 67172 67590 68304 68522 68793 71202
smoke-handoff,handoff,verify,,true,9,8,311,1.4472295,14,22724,71758,322959,394731,417455,81878,1000000,8,25611 30635 45714 65000 72289 73604 81878
matrix-handoff-sonnet,handoff,review,opus,true,11,10,591,2.419715,22,53927,84435,454160,538617,592544,94555,1000000,9,26655 28121 29888 32208 35726 39877 40768 47923 68877 94019 94555
matrix-handoff-sonnet,handoff,fix,sonnet,true,6,5,142,0.5226299999999999,12,18524,68299,320850,389161,407685,78522,1000000,8,48270 57208 60601 67726 76834 78522
matrix-handoff-sonnet,handoff,verify,,true,13,12,341,1.9838195,26,27958,93316,703159,796501,824459,103436,1000000,10,25614 33006 34288 39720 46637 54859 61178 62697 71766 79617 87517 96166 103436
matrix-handoff-haiku,handoff,review,opus,true,11,10,530,2.0642705,22,44203,73499,448191,521712,565915,83619,1000000,8,26655 28223 31862 36781 39532 42364 42770 45512 61486 82908 83619
matrix-handoff-haiku,handoff,fix,haiku,true,53,52,356,0.6859650999999998,426,36883,78470,3441841,3520737,3557620,92167,200000,46,40097 41295 42397 43891 44685 45085 45845 46344 46705 47109 47851 49521 50720 52120 52628 53277 54128 56102 57118 59942 60989 61843 63128 63592 64435 65739 67817 68633 70235 71274 73062 73837 75006 75765 76764 77553 79141 79760 80832 81253 81999 83067 83584 83923 84741 85013 85345 85642 86263 86691 87056 87728 92167
matrix-handoff-haiku,handoff,verify,,true,15,14,412,2.322061,30,33003,101448,964712,1066190,1099193,111568,1000000,11,25604 32958 33679 39145 46772 55970 67775 74698 81827 87217 96339 97209 104268 111161 111568
matrix-handoff-review-sonnet,handoff-review,review,opus,true,9,8,536,2.239338,18,50406,79594,366316,445928,496334,89714,1000000,9,26653 28101 31448 35162 39884 43762 61985 89219 89714
matrix-handoff-review-sonnet,handoff-review,fix,sonnet,true,7,6,227,0.659177,14,26364,78147,414605,492766,519130,88370,1000000,9,49874 51313 62554 74026 80211 86418 88370
matrix-handoff-review-sonnet,handoff-review,verify,,true,17,16,407,2.1610920000000005,24,32620,98773,715484,814281,846901,108893,1000000,11,23468 32942 35819 44800 53302 67992 75073 85683 91768 92966 101575 108893
matrix-handoff-review-haiku,handoff-review,review,opus,true,14,13,575,2.639809,28,55801,89586,697568,787182,842983,99706,1000000,10,26653 28109 31551 34784 39558 40158 40695 46304 48571 67249 93953 94564 95327 99706
matrix-handoff-review-haiku,handoff-review,fix,haiku,true,45,40,304,0.5899739999999999,336,29442,71949,2671762,2744047,2773489,87812,200000,44,44918 45928 46984 48093 48822 50311 51472 52207 53420 54138 55668 57142 57994 58815 60031 61096 61138 62229 63043 63085 63123 65081 65935 67875 68882 71266 72112 73891 74563 75743 76089 76788 77453 78941 79364 80087 80739 82323 82900 83075 83270 83457 83744 83968 87812
matrix-handoff-review-haiku,handoff-review,verify,,true,14,13,325,1.9485225000000002,28,25789,91059,786135,877222,903011,101179,1000000,10,25604 33028 34330 39123 44848 48862 54764 64578 72412 80831 91493 92138 94032 101179
matrix-oneshot-opus,oneshot,oneshot,opus,true,21,20,584,2.8852814999999996,42,54229,85380,1351093,1436515,1490744,95500,1000000,10,26778 28254 32419 37342 40094 63437 65782 67860 68711 70788 74730 77166 81304 82721 84927 85631 86729 87432 88915 89995 95500
matrix-oneshot-opus,oneshot,verify,,true,16,15,400,2.2526455000000003,22,33103,109112,667681,776815,809918,119232,1000000,12,25607 33944 37307 45578 59446 74413 81408 88742 99498 111640 119232
matrix-skill,skill,skill,opus,true,23,62,958,4.242981199999999,46,18128,54608,1004578,1059232,1077360,90067,1000000,9,25012 28170 29358 30476 31090 32516 34774 19975 25804 33226 55978 79897 39006 39702 41650 23654 28168 30121 56798 57203 60096 60960 61222 62488 64288 64915 67550 69134 72555 75843 76074 77322 79035 80430 81169 83836 84026 84373 86187 86774 87531 88143 88545 89076 89650 90067 45425 46712 48389 50224 51733 52679 56945 58391 60051 63370 64103 64728
matrix-skill,skill,verify,,true,14,13,331,1.989335,28,27202,90791,802470,893289,920491,100911,1000000,10,25604 32974 33646 39234 44904 52137 64190 70566 77029 82105 87017 88706 94266 100911
matrix-handoff-opus,handoff,review,opus,true,16,15,673,2.978117,32,61406,94680,992014,1086726,1148132,104800,1000000,10,26653 28151 31786 37266 40014 45366 47604 48181 68139 97960 98794 101260 102829 103754 104169 104800
matrix-handoff-opus,handoff,fix,opus,true,20,19,321,2.477206,40,34640,88115,1459712,1547867,1582507,98235,1000000,10,53882 55329 59476 66781 70234 70791 71464 73144 74432 77925 79882 81614 83577 85230 86785 88137 89128 90419 91402 98235
matrix-handoff-opus,handoff,verify,,true,17,16,373,2.1250685000000002,24,31227,100366,681227,781617,812844,110486,1000000,11,25805 33523 36529 43106 49596 56239 67476 76164 84981 97818 99894 110486
hard-handoff-sonnet,handoff,review,opus,true,10,9,426,1.5955209999999997,24,30254,59454,489022,548500,578754,69574,1000000,7,26653 27983 32706 38412 43115 43792 47254 55696 68807 69574
hard-handoff-sonnet,handoff,fix,sonnet,true,5,4,66,0.2914778,10,7667,44017,193599,237626,245293,54240,1000000,5,36868 45340 48396 52782 54240
hard-handoff-sonnet,handoff,verify,,true,6,5,179,0.9908245,12,14534,52521,204409,256942,271476,62641,1000000,6,25604 28147 37357 48541 54652 62641
hard-oneshot-opus,oneshot,oneshot,opus,true,14,13,359,1.7388055000000002,28,31511,60878,684221,745127,776638,70998,1000000,7,26778 28215 31873 38135 44339 52350 58835 61084 62944 65838 67150 67860 68728 70998
hard-oneshot-opus,oneshot,verify,,true,8,7,190,1.1047379999999998,16,15487,56073,313506,369595,385082,66193,1000000,7,25607 28226 38673 41507 49580 56074 63735 66193
